lat	long	value
37.736506	-122.481928	4696
37.774262	-122.404951	9324
37.766816	-122.500542	3254
37.720845	-122.429978	6337
37.773286	-122.472102	5417
37.757323	-122.438511	4564
37.8035	-122.4153	5499
37.729165	-122.39237	10288
37.773515	-122.450437	6620
37.797465	-122.437033	4010
37.744132	-122.418547	6231
37.756066	-122.40151	6396
37.785335	-122.408317	18509
37.783184	-122.394628	5478
37.77972	-122.433221	7606
37.778236	-122.416056	11996
37.763874	-122.420567	11163
37.796644	-122.400597	6504
37.720516	-122.457123	4352
37.787772	-122.419504	9183
